companyClientLevelType,Communauto,POTENTIAL_CLIENT,
companyAddresses_primary,T-Mobile US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '1099 New York Avenue', 'address2': None, 'geoInfoEN': {'cityId': 7267650, 'city': 'Washington Navy Yard', 'province': 'District of Columbia', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,深圳麦克韦尔科技有限公司 中国,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'shanghai', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,KIKA CN,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '威海路wework', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,"BEIJING KUNLUN TECH CO.,LTD - 北京昆仑万维","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'china', 'address2': None, 'geoInfoEN': {'cityId': 1811103, 'city': 'Foshan', 'province': 'Guangdong', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,WingTech 闻泰科技股份有限公司 中国,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '150 Spear St.', 'address2': None, 'geoInfoEN': {'cityId': 1690019, 'city': 'San Francisco', 'province': 'Caraga', 'country': 'Philippines'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,上海医药集团股份有限公司,"{'address': '上海市太仓路 200 号', 'address2': None, 'geoInfoEN': {'cityId': 1787957, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Profex 百互润贸易有限公司 中国,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '无锡市锡山区安镇街道新世纪工业园吼山南路15号', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Mentech 东莞铭普光磁 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '上海徐汇紫竹工业园区', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,JPT 深圳杰普特光电 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '381 East Evelyn Avenue', 'address2': None, 'geoInfoEN': {'cityId': 5832901, 'city': 'Mountain View', 'province': 'Wyoming', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Meituan  美团 （回国项目）美国,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '381 East Evelyn Avenue', 'address2': None, 'geoInfoEN': {'cityId': 5832901, 'city': 'Mountain View', 'province': 'Wyoming', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
